name,name2
albsjyj,阿拉伯世界研究
ahdxxb-zxshkxb,安徽大学学报. 哲学社会科学版
ahdxxb-zrkxb,安徽大学学报. 自然科学版
ahnydxxb,安徽农业大学学报
ahsfdxxb-rwshkxb,安徽师范大学学报. 人文社会科学版
ahsfdxxb-zrkxb,安徽师范大学学报. 自然科学版
ahsx,安徽史学
ahykdxxb,安徽医科大学学报
aqyhjgc,安全与环境工程
aqyhjxb,安全与环境学报
bdtgd,半导体光电
bdtjs,半导体技术
bys,半月谈
bzgc,包装工程
bxyj,保险研究
bp,爆破
bpqc,爆破器材
bzycj,爆炸与冲击
bflc,北方论丛
bfww,北方文物
bfyy,北方园艺
bjdxjypl,北京大学教育评论
bjdxxb-yxb,北京大学学报. 医学版
bjdxxb-zxshkxb,北京大学学报. 哲学社会科学版
bjdxxb-zrkxb,北京大学学报. 自然科学版
bjda,北京档案
bjdyxyxb,北京电影学院学报
bjgsdxxb-shkxb,北京工商大学学报. 社会科学版
bjgydxxb,北京工业大学学报
bjhkhtdxxb,北京航空航天大学学报
bjhgdxxb-zrkxb,北京化工大学学报. 自然科学版
bjjtdxxb,北京交通大学学报
bjkjdxxb,北京科技大学学报
bjlgdxxb,北京理工大学学报
bjlydxxb,北京林业大学学报
bjshkx,北京社会科学
bjsfdxxb-shkxb,北京师范大学学报. 社会科学版
bjsfdxxb-zrkxb,北京师范大学学报. 自然科学版
bjtydxxb,北京体育大学学报
bjwx,北京文学. 原创
bjwdxyxb,北京舞蹈学院学报
bjxzxyxb,北京行政学院学报
bjyddxxb,北京邮电大学学报
bjzyydxxb,北京中医药大学学报
bjfyj,比较法研究
bjjyyj,比较教育研究
bjxb,编辑学报
bjxk,编辑学刊
bjzy,编辑之友
byq,变压器
bmjs,表面技术
bcdt,冰川冻土
bgxb,兵工学报
bqclkxygc,兵器材料科学与工程
bdxb,病毒学报
bpxzz,波谱学杂志
blg/fhcl,玻璃钢/复合材料
clbh,材料保护
cldbfwcldb-Akzsphcldb-Bkyjp,材料导报（分为：《材料导报. A刊，综述篇》和《材料导报. B刊，研究篇》）
clgc,材料工程
clkxygcxb,材料科学与工程学报
clkxygy,材料科学与工艺
clrclxb,材料热处理学报
clyjxb,材料研究学报
clyyjxb,材料与冶金学报
cjkx,财经科学
cjllysj,财经理论与实践
cjlc,财经论丛
cjwtyj,财经问题研究
cjyj,财经研究
chtx-zh,财会通讯. 综合
chyk,财会月刊
cmjj,财贸经济
cmyj,财贸研究
cwyhj-zhbgmwcwyhj,财务与会计. 综合版（改名为：财务与会计）
czyj,财政研究
ckyaqgcxb,采矿与安全工程学报
cykx,蚕业科学
cdxb,草地学报
cykx,草业科学
cyxb,草业学报
chkx,测绘科学
chkxjsxb,测绘科学技术学报
chtb,测绘通报
chxb,测绘学报
cjjs,测井技术
ckjs,测控技术
cykx,茶叶科学
cyjjyj,产业经济研究
cadxxb-zrkxb,长安大学学报. 自然科学版 
cc,长城
cjkxyyb,长江科学院院报
cjlyzyyhj,长江流域资源与环境
cjwy,长江文艺
cwycnyy,肠外与肠内营养
cyfdj,车用发动机
cjxb,沉积学报
cdlgdxxb-zrkxb,成都理工大学学报. 自然科学版
cdtyxyxb,成都体育学院学报
csfzyj,城市发展研究
csgh,城市规划
csghxk,城市规划学刊
csgdjtyj,城市轨道交通研究
cswt,城市问题
zqdxxb,重庆大学学报
zqdxxb-shkxb,重庆大学学报. 社会科学版
zqjzdxxbgmwtmjzyhjgc,重庆建筑大学学报（改名为：土木建筑与环境工程）
zqjtdxxb-zrkxb,重庆交通大学学报. 自然科学版
zqsfdxxb-zrkxb,重庆师范大学学报. 自然科学版
zqykdxxb,重庆医科大学学报
zqyx,重庆医学
zqyddxxb-zrkxb,重庆邮电大学学报. 自然科学版
cbfxyj,出版发行研究
cbgj,出版广角
cbkx,出版科学
cgjsxb,传感技术学报
cgqywxt,传感器与微系统
cm,传媒
cbgc,船舶工程
cblx,船舶力学
csyj,辞书研究
cxcljqj,磁性材料及器件
chxb,催化学报
ddclydqdlx,大地测量与地球动力学
ddgzyckx,大地构造与成矿学
ddjjs,大电机技术
ddkx,大豆科学
dlgydxxb,大连工业大学学报
dlhsdxxb,大连海事大学学报
dllgdxxb,大连理工大学学报
dlscxyxbgmwdlhydxxb,大连水产学院学报（改名为：大连海洋大学学报）
dqkx,大气科学
dqsydzykf,大庆石油地质与开发
dqsyxyxb,大庆石油学院学报
dws,大舞台
dxcbgmwxdcb,大学出版（改名为：现代出版）
dxjykx,大学教育科学
dxtsgxb,大学图书馆学报
dxwl,大学物理
dsyy,淡水渔业
ddxb,弹道学报
djyzdxb,弹箭与制导学报
dd,当代
ddcj,当代财经
ddcb,当代传播
ddds,当代电视
dddy,当代电影
ddfx,当代法学
ddjykx,当代教育科学
ddjjkx,当代经济科学
ddjjyj,当代经济研究
ddsjshzywt,当代世界社会主义问题
ddsjyshzy,当代世界与社会主义
ddwgwx,当代外国文学
ddws,当代文坛
ddys,当代亚太
ddyyx,当代语言学
ddzgsyj,当代中国史研究
ddzjpl,当代作家评论
ddwx,党的文献
djyj,党建研究
dsyjyjx,党史研究与教学
dagl,档案管理
daxtx,档案学通讯
daxyj,档案学研究
dayjs,档案与建设
ddyhtyzjs,导弹与航天运载技术
ddywm,道德与文明
dgyj,德国研究
dwgc,低温工程
dwwlxb,低温物理学报
dwycd,低温与超导
dcxzz,地层学杂志
dfczyj,地方财政研究
dlkx,地理科学
dlkxjz,地理科学进展
dlxb,地理学报
dlyj,地理研究
dlydlxxkx,地理与地理信息科学
dqhx,地球化学
