"","x"
"1",""
"2","http://c.wanfangdata.com.cn/periodical/shjr/2000-1.aspx"
"3","http://c.wanfangdata.com.cn/periodical/shjr/2000-2.aspx"
"4","http://c.wanfangdata.com.cn/periodical/shjr/2000-3.aspx"
"5","http://c.wanfangdata.com.cn/periodical/shjr/2000-4.aspx"
"6","http://c.wanfangdata.com.cn/periodical/shjr/2000-5.aspx"
"7","http://c.wanfangdata.com.cn/periodical/shjr/2000-6.aspx"
"8","http://c.wanfangdata.com.cn/periodical/shjr/2001-1.aspx"
"9","http://c.wanfangdata.com.cn/periodical/shjr/2001-2.aspx"
"10","http://c.wanfangdata.com.cn/periodical/shjr/2001-3.aspx"
"11","http://c.wanfangdata.com.cn/periodical/shjr/2001-4.aspx"
"12","http://c.wanfangdata.com.cn/periodical/shjr/2001-5.aspx"
"13","http://c.wanfangdata.com.cn/periodical/shjr/2001-6.aspx"
"14","http://c.wanfangdata.com.cn/periodical/shjr/2002-1.aspx"
"15","http://c.wanfangdata.com.cn/periodical/shjr/2002-2.aspx"
"16","http://c.wanfangdata.com.cn/periodical/shjr/2002-3.aspx"
"17","http://c.wanfangdata.com.cn/periodical/shjr/2002-4.aspx"
"18","http://c.wanfangdata.com.cn/periodical/shjr/2002-5.aspx"
"19","http://c.wanfangdata.com.cn/periodical/shjr/2002-6.aspx"
"20","http://c.wanfangdata.com.cn/periodical/shjr/2003-1.aspx"
"21","http://c.wanfangdata.com.cn/periodical/shjr/2003-2.aspx"
"22","http://c.wanfangdata.com.cn/periodical/shjr/2003-3.aspx"
"23","http://c.wanfangdata.com.cn/periodical/shjr/2003-4.aspx"
"24","http://c.wanfangdata.com.cn/periodical/shjr/2003-5.aspx"
"25","http://c.wanfangdata.com.cn/periodical/shjr/2003-6.aspx"
"26","http://c.wanfangdata.com.cn/periodical/shjr/2004-1.aspx"
"27","http://c.wanfangdata.com.cn/periodical/shjr/2004-2.aspx"
"28","http://c.wanfangdata.com.cn/periodical/shjr/2004-3.aspx"
"29","http://c.wanfangdata.com.cn/periodical/shjr/2004-4.aspx"
"30","http://c.wanfangdata.com.cn/periodical/shjr/2004-5.aspx"
"31","http://c.wanfangdata.com.cn/periodical/shjr/2004-6.aspx"
"32","http://c.wanfangdata.com.cn/periodical/shjr/2005-1.aspx"
"33","http://c.wanfangdata.com.cn/periodical/shjr/2005-2.aspx"
"34","http://c.wanfangdata.com.cn/periodical/shjr/2005-3.aspx"
"35","http://c.wanfangdata.com.cn/periodical/shjr/2005-4.aspx"
"36","http://c.wanfangdata.com.cn/periodical/shjr/2005-5.aspx"
"37","http://c.wanfangdata.com.cn/periodical/shjr/2005-6.aspx"
"38","http://c.wanfangdata.com.cn/periodical/shjr/2006-1.aspx"
"39","http://c.wanfangdata.com.cn/periodical/shjr/2006-2.aspx"
"40","http://c.wanfangdata.com.cn/periodical/shjr/2006-3.aspx"
"41","http://c.wanfangdata.com.cn/periodical/shjr/2006-4.aspx"
"42","http://c.wanfangdata.com.cn/periodical/shjr/2006-5.aspx"
"43","http://c.wanfangdata.com.cn/periodical/shjr/2006-6.aspx"
"44","http://c.wanfangdata.com.cn/periodical/shjr/2007-1.aspx"
"45","http://c.wanfangdata.com.cn/periodical/shjr/2007-2.aspx"
"46","http://c.wanfangdata.com.cn/periodical/shjr/2007-3.aspx"
"47","http://c.wanfangdata.com.cn/periodical/shjr/2007-4.aspx"
"48","http://c.wanfangdata.com.cn/periodical/shjr/2007-5.aspx"
"49","http://c.wanfangdata.com.cn/periodical/shjr/2007-6.aspx"
"50","http://c.wanfangdata.com.cn/periodical/shjr/2008-1.aspx"
"51","http://c.wanfangdata.com.cn/periodical/shjr/2008-2.aspx"
"52","http://c.wanfangdata.com.cn/periodical/shjr/2008-3.aspx"
"53","http://c.wanfangdata.com.cn/periodical/shjr/2008-4.aspx"
"54","http://c.wanfangdata.com.cn/periodical/shjr/2008-5.aspx"
"55","http://c.wanfangdata.com.cn/periodical/shjr/2008-6.aspx"
"56","http://c.wanfangdata.com.cn/periodical/shjr/2009-1.aspx"
"57","http://c.wanfangdata.com.cn/periodical/shjr/2009-2.aspx"
"58","http://c.wanfangdata.com.cn/periodical/shjr/2009-3.aspx"
"59","http://c.wanfangdata.com.cn/periodical/shjr/2009-4.aspx"
"60","http://c.wanfangdata.com.cn/periodical/shjr/2009-5.aspx"
"61","http://c.wanfangdata.com.cn/periodical/shjr/2009-6.aspx"
"62","http://c.wanfangdata.com.cn/periodical/shjr/2010-1.aspx"
"63","http://c.wanfangdata.com.cn/periodical/shjr/2010-2.aspx"
"64","http://c.wanfangdata.com.cn/periodical/shjr/2010-3.aspx"
"65","http://c.wanfangdata.com.cn/periodical/shjr/2010-4.aspx"
"66","http://c.wanfangdata.com.cn/periodical/shjr/2010-5.aspx"
"67","http://c.wanfangdata.com.cn/periodical/shjr/2010-6.aspx"
"68","http://c.wanfangdata.com.cn/periodical/jdyj/2000-1.aspx"
"69","http://c.wanfangdata.com.cn/periodical/jdyj/2000-2.aspx"
"70","http://c.wanfangdata.com.cn/periodical/jdyj/2000-3.aspx"
"71","http://c.wanfangdata.com.cn/periodical/jdyj/2000-4.aspx"
"72","http://c.wanfangdata.com.cn/periodical/jdyj/2000-5.aspx"
"73","http://c.wanfangdata.com.cn/periodical/jdyj/2000-6.aspx"
"74","http://c.wanfangdata.com.cn/periodical/jdyj/2001-1.aspx"
"75","http://c.wanfangdata.com.cn/periodical/jdyj/2001-2.aspx"
"76","http://c.wanfangdata.com.cn/periodical/jdyj/2001-3.aspx"
"77","http://c.wanfangdata.com.cn/periodical/jdyj/2001-4.aspx"
"78","http://c.wanfangdata.com.cn/periodical/jdyj/2001-5.aspx"
"79","http://c.wanfangdata.com.cn/periodical/jdyj/2001-6.aspx"
"80","http://c.wanfangdata.com.cn/periodical/jdyj/2002-1.aspx"
"81","http://c.wanfangdata.com.cn/periodical/jdyj/2002-2.aspx"
"82","http://c.wanfangdata.com.cn/periodical/jdyj/2002-3.aspx"
"83","http://c.wanfangdata.com.cn/periodical/jdyj/2002-4.aspx"
"84","http://c.wanfangdata.com.cn/periodical/jdyj/2002-5.aspx"
"85","http://c.wanfangdata.com.cn/periodical/jdyj/2002-6.aspx"
"86","http://c.wanfangdata.com.cn/periodical/jdyj/2003-1.aspx"
"87","http://c.wanfangdata.com.cn/periodical/jdyj/2003-2.aspx"
"88","http://c.wanfangdata.com.cn/periodical/jdyj/2003-3.aspx"
"89","http://c.wanfangdata.com.cn/periodical/jdyj/2003-4.aspx"
"90","http://c.wanfangdata.com.cn/periodical/jdyj/2003-5.aspx"
"91","http://c.wanfangdata.com.cn/periodical/jdyj/2003-6.aspx"
"92","http://c.wanfangdata.com.cn/periodical/jdyj/2004-1.aspx"
"93","http://c.wanfangdata.com.cn/periodical/jdyj/2004-2.aspx"
"94","http://c.wanfangdata.com.cn/periodical/jdyj/2004-3.aspx"
"95","http://c.wanfangdata.com.cn/periodical/jdyj/2004-4.aspx"
"96","http://c.wanfangdata.com.cn/periodical/jdyj/2004-5.aspx"
"97","http://c.wanfangdata.com.cn/periodical/jdyj/2004-6.aspx"
"98","http://c.wanfangdata.com.cn/periodical/jdyj/2005-1.aspx"
"99","http://c.wanfangdata.com.cn/periodical/jdyj/2005-2.aspx"
"100","http://c.wanfangdata.com.cn/periodical/jdyj/2005-3.aspx"
"101","http://c.wanfangdata.com.cn/periodical/jdyj/2005-4.aspx"
"102","http://c.wanfangdata.com.cn/periodical/jdyj/2005-5.aspx"
"103","http://c.wanfangdata.com.cn/periodical/jdyj/2005-6.aspx"
"104","http://c.wanfangdata.com.cn/periodical/jdyj/2006-1.aspx"
"105","http://c.wanfangdata.com.cn/periodical/jdyj/2006-2.aspx"
"106","http://c.wanfangdata.com.cn/periodical/jdyj/2006-3.aspx"
"107","http://c.wanfangdata.com.cn/periodical/jdyj/2006-4.aspx"
"108","http://c.wanfangdata.com.cn/periodical/jdyj/2006-5.aspx"
"109","http://c.wanfangdata.com.cn/periodical/jdyj/2006-6.aspx"
"110","http://c.wanfangdata.com.cn/periodical/jdyj/2007-1.aspx"
"111","http://c.wanfangdata.com.cn/periodical/jdyj/2007-2.aspx"
"112","http://c.wanfangdata.com.cn/periodical/jdyj/2007-3.aspx"
"113","http://c.wanfangdata.com.cn/periodical/jdyj/2007-4.aspx"
"114","http://c.wanfangdata.com.cn/periodical/jdyj/2007-5.aspx"
"115","http://c.wanfangdata.com.cn/periodical/jdyj/2007-6.aspx"
"116","http://c.wanfangdata.com.cn/periodical/jdyj/2008-1.aspx"
"117","http://c.wanfangdata.com.cn/periodical/jdyj/2008-2.aspx"
"118","http://c.wanfangdata.com.cn/periodical/jdyj/2008-3.aspx"
"119","http://c.wanfangdata.com.cn/periodical/jdyj/2008-4.aspx"
"120","http://c.wanfangdata.com.cn/periodical/jdyj/2008-5.aspx"
"121","http://c.wanfangdata.com.cn/periodical/jdyj/2008-6.aspx"
"122","http://c.wanfangdata.com.cn/periodical/jdyj/2009-1.aspx"
"123","http://c.wanfangdata.com.cn/periodical/jdyj/2009-2.aspx"
"124","http://c.wanfangdata.com.cn/periodical/jdyj/2009-3.aspx"
"125","http://c.wanfangdata.com.cn/periodical/jdyj/2009-4.aspx"
"126","http://c.wanfangdata.com.cn/periodical/jdyj/2009-5.aspx"
"127","http://c.wanfangdata.com.cn/periodical/jdyj/2009-6.aspx"
"128","http://c.wanfangdata.com.cn/periodical/jdyj/2010-1.aspx"
"129","http://c.wanfangdata.com.cn/periodical/jdyj/2010-2.aspx"
"130","http://c.wanfangdata.com.cn/periodical/jdyj/2010-3.aspx"
"131","http://c.wanfangdata.com.cn/periodical/jdyj/2010-4.aspx"
"132","http://c.wanfangdata.com.cn/periodical/jdyj/2010-5.aspx"
"133","http://c.wanfangdata.com.cn/periodical/jdyj/2010-6.aspx"
"134","http://c.wanfangdata.com.cn/periodical/wyywyjx/2000-1.aspx"
"135","http://c.wanfangdata.com.cn/periodical/wyywyjx/2000-2.aspx"
"136","http://c.wanfangdata.com.cn/periodical/wyywyjx/2000-3.aspx"
"137","http://c.wanfangdata.com.cn/periodical/wyywyjx/2000-4.aspx"
"138","http://c.wanfangdata.com.cn/periodical/wyywyjx/2000-5.aspx"
"139","http://c.wanfangdata.com.cn/periodical/wyywyjx/2000-6.aspx"
"140","http://c.wanfangdata.com.cn/periodical/wyywyjx/2001-1.aspx"
"141","http://c.wanfangdata.com.cn/periodical/wyywyjx/2001-2.aspx"
"142","http://c.wanfangdata.com.cn/periodical/wyywyjx/2001-3.aspx"
"143","http://c.wanfangdata.com.cn/periodical/wyywyjx/2001-4.aspx"
"144","http://c.wanfangdata.com.cn/periodical/wyywyjx/2001-5.aspx"
"145","http://c.wanfangdata.com.cn/periodical/wyywyjx/2001-6.aspx"
"146","http://c.wanfangdata.com.cn/periodical/wyywyjx/2002-1.aspx"
"147","http://c.wanfangdata.com.cn/periodical/wyywyjx/2002-2.aspx"
"148","http://c.wanfangdata.com.cn/periodical/wyywyjx/2002-3.aspx"
"149","http://c.wanfangdata.com.cn/periodical/wyywyjx/2002-4.aspx"
"150","http://c.wanfangdata.com.cn/periodical/wyywyjx/2002-5.aspx"
"151","http://c.wanfangdata.com.cn/periodical/wyywyjx/2002-6.aspx"
"152","http://c.wanfangdata.com.cn/periodical/wyywyjx/2003-1.aspx"
"153","http://c.wanfangdata.com.cn/periodical/wyywyjx/2003-2.aspx"
"154","http://c.wanfangdata.com.cn/periodical/wyywyjx/2003-3.aspx"
"155","http://c.wanfangdata.com.cn/periodical/wyywyjx/2003-4.aspx"
"156","http://c.wanfangdata.com.cn/periodical/wyywyjx/2003-5.aspx"
"157","http://c.wanfangdata.com.cn/periodical/wyywyjx/2003-6.aspx"
"158","http://c.wanfangdata.com.cn/periodical/wyywyjx/2004-1.aspx"
"159","http://c.wanfangdata.com.cn/periodical/wyywyjx/2004-2.aspx"
"160","http://c.wanfangdata.com.cn/periodical/wyywyjx/2004-3.aspx"
"161","http://c.wanfangdata.com.cn/periodical/wyywyjx/2004-4.aspx"
"162","http://c.wanfangdata.com.cn/periodical/wyywyjx/2004-5.aspx"
"163","http://c.wanfangdata.com.cn/periodical/wyywyjx/2004-6.aspx"
"164","http://c.wanfangdata.com.cn/periodical/wyywyjx/2005-1.aspx"
"165","http://c.wanfangdata.com.cn/periodical/wyywyjx/2005-2.aspx"
"166","http://c.wanfangdata.com.cn/periodical/wyywyjx/2005-3.aspx"
"167","http://c.wanfangdata.com.cn/periodical/wyywyjx/2005-4.aspx"
"168","http://c.wanfangdata.com.cn/periodical/wyywyjx/2005-5.aspx"
"169","http://c.wanfangdata.com.cn/periodical/wyywyjx/2005-6.aspx"
"170","http://c.wanfangdata.com.cn/periodical/wyywyjx/2006-1.aspx"
"171","http://c.wanfangdata.com.cn/periodical/wyywyjx/2006-2.aspx"
"172","http://c.wanfangdata.com.cn/periodical/wyywyjx/2006-3.aspx"
"173","http://c.wanfangdata.com.cn/periodical/wyywyjx/2006-4.aspx"
"174","http://c.wanfangdata.com.cn/periodical/wyywyjx/2006-5.aspx"
"175","http://c.wanfangdata.com.cn/periodical/wyywyjx/2006-6.aspx"
"176","http://c.wanfangdata.com.cn/periodical/wyywyjx/2007-1.aspx"
"177","http://c.wanfangdata.com.cn/periodical/wyywyjx/2007-2.aspx"
"178","http://c.wanfangdata.com.cn/periodical/wyywyjx/2007-3.aspx"
"179","http://c.wanfangdata.com.cn/periodical/wyywyjx/2007-4.aspx"
"180","http://c.wanfangdata.com.cn/periodical/wyywyjx/2007-5.aspx"
"181","http://c.wanfangdata.com.cn/periodical/wyywyjx/2007-6.aspx"
"182","http://c.wanfangdata.com.cn/periodical/wyywyjx/2008-1.aspx"
"183","http://c.wanfangdata.com.cn/periodical/wyywyjx/2008-2.aspx"
"184","http://c.wanfangdata.com.cn/periodical/wyywyjx/2008-3.aspx"
"185","http://c.wanfangdata.com.cn/periodical/wyywyjx/2008-4.aspx"
"186","http://c.wanfangdata.com.cn/periodical/wyywyjx/2008-5.aspx"
"187","http://c.wanfangdata.com.cn/periodical/wyywyjx/2008-6.aspx"
"188","http://c.wanfangdata.com.cn/periodical/wyywyjx/2009-1.aspx"
"189","http://c.wanfangdata.com.cn/periodical/wyywyjx/2009-2.aspx"
"190","http://c.wanfangdata.com.cn/periodical/wyywyjx/2009-3.aspx"
"191","http://c.wanfangdata.com.cn/periodical/wyywyjx/2009-4.aspx"
"192","http://c.wanfangdata.com.cn/periodical/wyywyjx/2009-5.aspx"
"193","http://c.wanfangdata.com.cn/periodical/wyywyjx/2009-6.aspx"
"194","http://c.wanfangdata.com.cn/periodical/wyywyjx/2010-1.aspx"
"195","http://c.wanfangdata.com.cn/periodical/wyywyjx/2010-2.aspx"
"196","http://c.wanfangdata.com.cn/periodical/wyywyjx/2010-3.aspx"
"197","http://c.wanfangdata.com.cn/periodical/wyywyjx/2010-4.aspx"
"198","http://c.wanfangdata.com.cn/periodical/wyywyjx/2010-5.aspx"
"199","http://c.wanfangdata.com.cn/periodical/wyywyjx/2010-6.aspx"
"200","http://c.wanfangdata.com.cn/periodical/dsyy/2000-1.aspx"
"201","http://c.wanfangdata.com.cn/periodical/dsyy/2000-2.aspx"
"202","http://c.wanfangdata.com.cn/periodical/dsyy/2000-3.aspx"
"203","http://c.wanfangdata.com.cn/periodical/dsyy/2000-4.aspx"
"204","http://c.wanfangdata.com.cn/periodical/dsyy/2000-5.aspx"
"205","http://c.wanfangdata.com.cn/periodical/dsyy/2000-6.aspx"
"206","http://c.wanfangdata.com.cn/periodical/dsyy/2001-1.aspx"
"207","http://c.wanfangdata.com.cn/periodical/dsyy/2001-2.aspx"
"208","http://c.wanfangdata.com.cn/periodical/dsyy/2001-3.aspx"
"209","http://c.wanfangdata.com.cn/periodical/dsyy/2001-4.aspx"
"210","http://c.wanfangdata.com.cn/periodical/dsyy/2001-5.aspx"
"211","http://c.wanfangdata.com.cn/periodical/dsyy/2001-6.aspx"
"212","http://c.wanfangdata.com.cn/periodical/dsyy/2002-1.aspx"
"213","http://c.wanfangdata.com.cn/periodical/dsyy/2002-2.aspx"
"214","http://c.wanfangdata.com.cn/periodical/dsyy/2002-3.aspx"
"215","http://c.wanfangdata.com.cn/periodical/dsyy/2002-4.aspx"
"216","http://c.wanfangdata.com.cn/periodical/dsyy/2002-5.aspx"
"217","http://c.wanfangdata.com.cn/periodical/dsyy/2002-6.aspx"
"218","http://c.wanfangdata.com.cn/periodical/dsyy/2003-1.aspx"
"219","http://c.wanfangdata.com.cn/periodical/dsyy/2003-2.aspx"
"220","http://c.wanfangdata.com.cn/periodical/dsyy/2003-3.aspx"
"221","http://c.wanfangdata.com.cn/periodical/dsyy/2003-4.aspx"
"222","http://c.wanfangdata.com.cn/periodical/dsyy/2003-5.aspx"
"223","http://c.wanfangdata.com.cn/periodical/dsyy/2003-6.aspx"
"224","http://c.wanfangdata.com.cn/periodical/dsyy/2004-1.aspx"
"225","http://c.wanfangdata.com.cn/periodical/dsyy/2004-2.aspx"
"226","http://c.wanfangdata.com.cn/periodical/dsyy/2004-3.aspx"
"227","http://c.wanfangdata.com.cn/periodical/dsyy/2004-4.aspx"
"228","http://c.wanfangdata.com.cn/periodical/dsyy/2004-5.aspx"
"229","http://c.wanfangdata.com.cn/periodical/dsyy/2004-6.aspx"
"230","http://c.wanfangdata.com.cn/periodical/dsyy/2005-1.aspx"
"231","http://c.wanfangdata.com.cn/periodical/dsyy/2005-2.aspx"
"232","http://c.wanfangdata.com.cn/periodical/dsyy/2005-3.aspx"
"233","http://c.wanfangdata.com.cn/periodical/dsyy/2005-4.aspx"
